,tv_show,16,18,35,37,80,878,9648,10751,10759,10762,10763,10764,10765,10766,10767,10768,user,rating,id_y
0,Invincible,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,ChrisSawin,10.0,6058917c5c071b00546ccab3
1,The Flash,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tanasia,5.195675387079551,5f98b89877e1f600358ada9f
2,The Flash,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BruhDev,5.195675387079551,605e5e40d2f5b500286aa8ed
3,The Good Doctor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drtvnut89,10.0,5a0a07c192514131210073ec
4,The Handmaid's Tale,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Rangan,5.195675387079551,59bd8f6b92514135510185ab
5,The Handmaid's Tale,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SneekyNuts,5.195675387079551,5b3e188f0e0a261682009798
6,The Handmaid's Tale,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MovieGuys,5.195675387079551,5df991c2be2d4900175195fa
7,The Handmaid's Tale,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Peter89Spencer,5.195675387079551,5e64bb0a151c5c0017ff4b42
8,Grey's Anatomy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,retratodeumajovememchamas,1.0,5e1d27a012b10e0014947f4d
9,Lucifer,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Rangan,5.195675387079551,59ac9ea4c3a3682cc80389e0
10,Lucifer,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Godhand,5.195675387079551,5f4625992da84600333a1a51
11,Riverdale,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,TrentTX,10.0,58eeccc4c3a3686068002377
12,Riverdale,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,wan_,5.0,5c3019c1c3a36879cfa3c01c
13,Riverdale,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,tmdbsom,5.0,5f66370edbcade0036245be1
14,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,lmao7,9.0,58aa82f09251416f92006a3a
15,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,PresidentPutin,9.0,5913e02fc3a3683a93004984
16,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tmdb92828292,10.0,5b7f57499251416c89002511
17,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NegatioN,5.0,5cd9b46cc3a3680fd4c0853c
18,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Ditendra,3.0,5cf65dfec3a3685c0824ba8b
19,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Peter89Spencer,9.0,5e4d1abf1e9225001dc8aab5
20,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,narrator56,5.0,5f6c74c8cee2f600353b9b59
21,Game of Thrones,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Dvir971,10.0,5fcb515b8261ee00414024d9
22,Van Helsing,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,YouShouldKnow,3.0,5c25532cc3a3680a3aea2c10
23,Fear the Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ditendra,3.0,5d63e84caafebd0019a71b10
24,Fear the Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,dnice516,5.195675387079551,5d796d5339549a001298880a
25,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tmdb38541732,6.0,58b5e04692514119c0000084
26,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,lukan87,10.0,59fa28d6925141235700488b
27,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,benefits247,1.0,5bc23eab0e0a266e68035ee7
28,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,mattgibs0nn,10.0,5c9f89f4c3a368735b81b985
29,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,MovieGuys,5.195675387079551,5ca286e6c3a3682b210fe633
30,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,lynalouisa,10.0,5d1f535355b0c0678f6e18b7
31,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Ditendra,4.0,5d63e4b26dea3a600c936181
32,The Walking Dead,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,r96sk,10.0,5f84584641465c0037186f12
33,Jupiter's Legacy,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Peter89Spencer,9.0,609a8c4c20af77003d814a1e
34,WandaVision,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,msbreviews,9.0,6000763a4202280044e8504f
35,WandaVision,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,msbreviews,9.0,6043b80972c13e002b89e66d
36,WandaVision,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,sykobanana,4.0,60628da3d7a70a003ca3bb85
37,The Vampire Diaries,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ditendra,4.0,5d67c9ff6743fa000fd670a7
38,The Simpsons,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Thomaxz,10.0,58c47927925141638a00243e
39,The Simpsons,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,dgood826,5.195675387079551,595673e79251411dbd04a938
40,The Simpsons,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,MovieGuys,5.195675387079551,5ca28b0c0e0a26059b8d77d8
41,The Simpsons,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,AdamRife,5.195675387079551,5f57b26c84f2490038ff25ea
42,Cobra Kai,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,garyturnbullsr,5.195675387079551,5aebb19e0e0a266e0d000d80
